id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-06-0878-01A	0.00406556550039814	0.00570669175738633	0	0.0198320946213582	0	0.162500798956298	0	0.035509378215831	0	0	0.040949371450028	0	0.0869483048334968	0.265183436563056	0.0517567566520055	0.247576127223936	0	0	0	0	0.028157180179973	0.0518142940462319	0	0.386796199800156	0.925755214886174
TCGA-26-5135-01A	0	0.0171843758590764	0	0.0556350038848945	0	0.0921492666028191	0	0.0289283737937563	0	0	0.00496166246321318	0.0467416833685471	0.215609156500902	0.114706363048522	0.0812176956187391	0.317264682644693	0	0	0	0	0.0216746430254446	0.00392709318939276	0	0.310065597134126	0.961165336140436
TCGA-06-5859-01A	0	0.0160241219410743	0	0	0	0.299779420777395	0	0.0155826298576426	0	0	0	0.0210834611279772	0.177846105244095	0	0.0822217543636984	0.33219624958786	0	0.00389052528963481	0	0.0247452083780477	0.000129684678194961	0.0265008387543799	0	0.314836116149351	0.956272014897795
TCGA-06-2563-01A	0.0151778653897541	0	0	0.00510083268718397	0	0.250254484900608	0	0.0102704317526744	0.00937850981085648	0	0	0.063305898752419	0.0411581933520969	0.0228548845922192	0.120380651458714	0.380073046558103	0	0	0.0222828566462942	0	0	0.0597623440990774	0	0.293786109158519	0.967990103573192
TCGA-41-2571-01A	0	0.000687542074129177	0.00261127795155128	0.0101307020753822	0	0.10417025960753	0	0.00824438813126315	0	0	0.0528162054844929	0.0443056370195286	0.173086655074229	0.130531602798893	0.00343117076742849	0.264307523725412	0	0	0	0.125717713675708	0.0600846417591299	0.0198746798553219	0	0.253292919838462	0.988625127184503
TCGA-28-5207-01A	0	0.00343860150307733	0	0.0166455593674142	0	0.184847871885869	0	0.0417265649493507	0	0	0	0.0840784927066862	0.208377383270412	0.00989649441368829	0.0690292342146157	0.275728417769279	0	0.0108619626912504	0	0.00497240495203972	0.0858190423173413	0.00457796995897574	0	0.26568717681152	0.977135745787912
TCGA-14-0871-01A	0.0355779265560688	0	0	0.160255988120055	0	0.13698463208788	0	0.0508280545016004	0	0	0	0.0330850899668389	0.0208306861389749	0.131169079548698	0.0558967988535591	0.31388267758266	0	0	0	0.0238445742927446	0.010166596575791	0.0274778957751286	0.15	0.113214259132927	1.04606634169608
TCGA-16-1045-01B	0.0277162846752635	0	0.00152311810243159	0.01982228516909	0	0.174998028726561	0	0.00309873203917786	0	0	0.0209130970319599	0.00014383456477694	0.149306820329299	0.13879871276964	0.0527782138713157	0.331082141785403	0	0	0.0144814544592469	0	0.0213851482683839	0.0439521282074513	0	0.45648482766234	0.889221582582236
TCGA-32-2632-01A	0.0237463255181425	0.010828821875174	0	0.131141170491939	0	0.157987894018155	0	0.0112150718178327	0.0362217010156063	0	0	0.0304747376951807	0.152687112483628	0	0.0846721814614511	0.321697561614123	0	0	0.0120279928519958	0	0.0117875077417665	0.0155119214150059	0	0.377839472331723	0.926473743531663
TCGA-28-2514-01A	0.00158449240283894	0.00657331953756787	0	0	0	0.153911888622146	0	0.014470231994704	0	0	0.0154277894359889	0.0574631066284057	0.130887073452658	0.0946355054583317	0.0832860423007771	0.302976699018436	0	0	0.0583105622024558	0	0.0195916621127042	0.0608816268329862	0	0.199043574994049	1.00735437078096
TCGA-06-0141-01A	0.0286855741098526	0	0.00093948425570485	0.0387433224184575	0	0.159284169229095	0	0.0132889204407947	0	0	0.0378621002061241	0	0.0950156796742909	0.160862428057963	0.0378411858194053	0.325845238416717	0	0.00735348708545929	0.00460201241707857	0	0	0.0896763978690566	0	0.518397577212882	0.856432524387771
TCGA-06-2569-01A	0.0218855612962515	0	0.000332259406859952	0.131338605812906	0	0.134635658454072	0	0.0638787138801467	0	0	0	0.0754054776124186	0.0325178267218221	0.0915845510409717	0.0420836405875781	0.392399153282108	0	0	0.00245497717999585	0	0	0.0114835747248695	0.18	0.106028118515645	1.05362627198217
TCGA-02-2485-01A	0.0122884523176675	0	0	0.0147828242946212	0	0.272500688350446	0	0.0792827296535342	0	0	0	0.0675305981758783	0.0868785254386617	0.0297816521224293	0.0914330741701064	0.287453623333509	0	0.0383180022323917	0	0.0192330249054419	0	0.000516805005312865	0	0.243768364455479	0.988414777293837
TCGA-06-0138-01A	0	0	0.00204307213740861	0.0374669624286163	0	0.129767054239858	0	0.0155349389894122	0	0	0.00190016253796368	0.0063192126490519	0.214293927962645	0.0750860438866821	0.0622069410015787	0.235881608602511	0	0	0	0.0791496617595466	0.102239701542898	0.0381107122618278	0	0.436383265920946	0.899085900205629
TCGA-06-2564-01A	0.0267172436383747	0	0	0.0218183031212552	0	0.213087102484353	0	0	0	0	0.0288736815428714	0.0136664293420921	0.206939346388662	0.0655566026898033	0.0425577372228768	0.281421568895798	0	0	0.00683904848228169	0	0.0585852987277877	0.033937637463844	0	0.267150900055541	0.976319030215759
TCGA-16-0846-01A	0.00977376007586815	0.00170004506758691	0	0.109830034931786	0	0.117930473871551	0	0.0622050196671405	0	0	0	0.0451101437712739	0.218346055189561	0	0.136779893900217	0.258352498883931	0	0	0.00448271890790775	0	0.0354893557331772	0	0	0.350020843524424	0.94100326991605
TCGA-76-4928-01B	0.0206842061308114	0	0	0.0481356277295891	0	0.0586685568969431	0.170468690205929	0	0	0	0.0604364144526788	0	0.219141392147872	0.119616657793739	0.0144904459827405	0.23958939730639	0.00485422266154006	0	0.0098703426109942	0	0	0.0340440460807721	0	0.319071532494919	0.952735294011485
TCGA-76-4931-01A	0	0.0265216878939476	0	0.0454465058556932	0	0.131260009454522	0	0.0156067340025575	0	0	0.0719736714216684	0	0.228812746250386	0.13632923743774	0.0494406664054921	0.258192178514341	0	0	0	0	0.0220354868085681	0.0143810759550844	0	0.20009986428781	1.00820079657938
TCGA-14-0817-01A	0	0.0219422808334425	0	0.00618214257731069	0	0.152243117990712	0	0.0432258633179529	0	0.0115354517748045	0	0.0959441463158146	0.113511701764925	0.0925332037975898	0.0786703675693293	0.298916128336035	0	0	0	0.0220431321978701	0.0220337170204529	0.0412187465037598	0	0.419246471328128	0.907306590539947
TCGA-19-2620-01A	0	0.00463586201521228	0	0.0241565058730521	0	0.0646320352438058	0	0.0347612697215014	0	0	0	0.0345646512191531	0.339879807850772	0.0409929191282176	0.0411812653829373	0.244117470456047	0	0	0	0.0651152615356133	0.102888974121203	0.00307397745248582	0	0.22628067168325	1.00175725268339
TCGA-26-5132-01A	0.00328895359366614	0.0327094813702318	0	0.0102184677548585	0	0.122465735789103	0.0372888206725267	0.0127106614854925	0.00762053143683349	0	0.031426576979991	0.00852418703144984	0.0153332884781803	0.153821185766474	0.0503307534977433	0.379782724442443	0.0140852255222005	0	0.0986938061617133	0	0	0.0216996000170925	0	0.301511737784576	0.962660177963816
